;v_x;v_y;dpsi;INS_Lat;INS_Long;Inv_Path_Radius;Steering_Angle;a_x;a_y;a_z
0 days 00:01:41.471438280;16.722638888888888;-0.065;-0.2776091619401314;52.64994051666667;9.752749283333333;-0.01676666666666667;-0.06314043042828583;-0.8335230000000001;-5.260340000000001;9.669172
0 days 00:01:41.481438280;16.716527777777777;-0.0651388888888889;-0.2769401190602002;52.649940316666665;9.7527517;-0.016633333333333333;-0.06309129390655178;-0.586965;-5.087793;9.261185000000001
0 days 00:01:41.491438280;16.718333333333334;-0.06847222222222223;-0.2772019184479994;52.649940125;9.752754108333333;-0.016675;-0.06302250277612408;-0.230644;-5.247042;9.445722000000002
0 days 00:01:41.501438280;16.712777777777777;-0.06652777777777778;-0.2755584000690381;52.649939999999994;9.752756583333333;-0.016591666666666668;-0.06297336625439;-0.7410910000000002;-4.9887120000000005;9.47755
0 days 00:01:41.511438280;16.71;-0.06861111111111111;-0.2743948472343751;52.64993981666667;9.752759;-0.016508333333333333;-0.06290457512396229;-0.44559200000000004;-5.119185000000001;9.415093
0 days 00:01:41.521438280;16.709861111111113;-0.07;-0.27411850343614275;52.649939616666664;9.752761408333333;-0.0165;-0.06285543860222823;-0.33364900000000003;-5.194068;9.614889999999999
0 days 00:01:41.531438280;16.705972222222226;-0.07;-0.2735076381979447;52.64993941666666;9.752763883333333;-0.016483333333333332;-0.06278664747180052;-0.622608;-5.2081290000000005;9.603118
0 days 00:01:41.541438280;16.694166666666668;-0.07;-0.273013128243213;52.64993921666667;9.7527663;-0.016408333333333334;-0.06273751095006645;-0.43382;-5.037435000000001;9.580119000000002
0 days 00:01:41.551438280;16.689861111111114;-0.0701388888888889;-0.27310039470581277;52.64993901666666;9.752768699999999;-0.0164;-0.06273751095006645;-0.3574110000000001;-5.097821;9.494118000000002
0 days 00:01:41.561438280;16.686249999999998;-0.07361111111111111;-0.2716314092520508;52.64993881666667;9.752771099999999;-0.016366666666666668;-0.06273751095006645;-0.6843020000000001;-5.161913000000001;9.534775000000002
0 days 00:01:41.571438280;16.681527777777777;-0.075;-0.2709478219616863;52.64993861666667;9.752773508333332;-0.016233333333333332;-0.06266871981963874;-0.5335550000000001;-4.959064000000001;9.165701
0 days 00:01:41.581438280;16.683333333333334;-0.07513888888888888;-0.27183503099811684;52.64993840833333;9.752775974999999;-0.016291666666666666;-0.06261958329790465;-0.22966299999999998;-5.287917;9.647699000000001
0 days 00:01:41.591438280;16.67763888888889;-0.07861111111111112;-0.27107872165558594;52.649938133333336;9.752778325;-0.016300000000000002;-0.06261958329790465;-0.861645;-5.1168960000000006;9.689555
0 days 00:01:41.601438280;16.671388888888888;-0.08;-0.2712387101703521;52.649937916666666;9.752780783333334;-0.016300000000000002;-0.06261958329790465;-0.594159;-5.054003000000001;9.3413
0 days 00:01:41.611438280;16.669861111111114;-0.08;-0.2712387101703521;52.64993771666666;9.7527832;-0.016283333333333334;-0.06255079216747694;-0.32918;-4.994925000000001;9.40016
0 days 00:01:41.621438280;16.66625;-0.08;-0.27030786790262173;52.64993751666666;9.752785600000001;-0.016208333333333335;-0.06250165564574288;-0.5968840000000001;-5.009204;9.474716
0 days 00:01:41.631438280;16.66138888888889;-0.08013888888888888;-0.27043876759652136;52.649937308333335;9.752788;-0.016216666666666667;-0.062432864515315184;-0.482107;-5.1579890000000015;9.585678
0 days 00:01:41.641438280;16.659861111111113;-0.08361111111111112;-0.27134052104338513;52.64993703333332;9.7527904;-0.016308333333333334;-0.062383727993581106;-0.547507;-4.969855000000001;9.566712
0 days 00:01:41.651438280;16.65625;-0.085;-0.27138415427468493;52.64993680833333;9.7527928;-0.016375;-0.062383727993581106;-0.653237;-4.977158;9.425121
0 days 00:01:41.661438280;16.651527777777776;-0.085;-0.2719659306920164;52.649936533333324;9.752795208333334;-0.016325000000000003;-0.0623149368631534;-0.29702500000000004;-4.936392;9.198183
0 days 00:01:41.671438280;16.653333333333332;-0.085;-0.2725477071093479;52.64993630833333;9.752797683333332;-0.016375;-0.062197009210991624;-0.36024500000000004;-5.059017;9.652059000000001
0 days 00:01:41.681438280;16.647916666666667;-0.085;-0.27195138628158316;52.649936033333326;9.752800091666666;-0.016325000000000003;-0.062147872689257554;-0.9153820000000001;-4.864997000000002;9.511776000000001
0 days 00:01:41.691438280;16.64847222222222;-0.085;-0.27333310527274535;52.64993580833333;9.752802416666666;-0.016408333333333334;-0.06207908155882984;-0.361662;-5.066647000000001;9.573361000000002
0 days 00:01:41.701438280;16.64611111111111;-0.085;-0.2737694375857439;52.649935525;9.752804808333334;-0.01649166666666667;-0.06196115390666805;-0.710353;-5.129431;9.732719000000001
0 days 00:01:41.711438280;16.637777777777778;-0.085;-0.2738857928692102;52.64993523333333;9.752807283333333;-0.0165;-0.06184322625450628;-0.7578770000000001;-4.925819000000001;9.366915
0 days 00:01:41.721438280;16.635;-0.085;-0.27470027985347417;52.64993500833333;9.752809699999998;-0.01651666666666667;-0.061725298602344505;-0.300949;-5.046264000000001;9.442779
0 days 00:01:41.731438280;16.63486111111111;-0.085;-0.2749039015995402;52.649934725;9.752812091666668;-0.016591666666666668;-0.06167616208061043;-0.571923;-4.8237950000000005;9.429154
0 days 00:01:41.741438280;16.63138888888889;-0.085;-0.27462755780130776;52.649934425;9.752814416666666;-0.0166;-0.06160737095018273;-0.629584;-4.973343000000001;9.370512000000002
0 days 00:01:41.751438280;16.62986111111111;-0.085;-0.27509297893517287;52.649934133333325;9.7528168;-0.0166;-0.061489443298020946;-0.318498;-4.9568840000000005;9.665357000000002
0 days 00:01:41.761438280;16.62625;-0.085;-0.2743803028239419;52.64993390833333;9.7528192;-0.0166;-0.06137151564585916;-0.7813120000000001;-5.027298000000001;9.585678
0 days 00:01:41.771438280;16.62138888888889;-0.08486111111111111;-0.2742494031300423;52.649933624999996;9.752821599999999;-0.0166;-0.061253587993697386;-0.47774700000000003;-4.90064;9.544803
0 days 00:01:41.781438280;16.619722222222222;-0.08152777777777778;-0.27484572395780704;52.649933325;9.752823999999999;-0.0166;-0.0611356603415356;-0.18115800000000004;-4.892138;9.702308
0 days 00:01:41.791438280;16.61263888888889;-0.08361111111111112;-0.2739585149213766;52.649933024999996;9.752826399999998;-0.0166;-0.061086523819801536;-0.8618630000000002;-5.126488;9.627316
0 days 00:01:41.801438280;16.60638888888889;-0.085;-0.27328947204144544;52.649932725000006;9.7528288;-0.016583333333333335;-0.06101773268937384;-0.577482;-4.947728000000001;9.443433
0 days 00:01:41.811438280;16.60486111111111;-0.085;-0.273420371735345;52.649932424999996;9.752831191666667;-0.016508333333333333;-0.060899805037212054;-0.36155299999999996;-5.010948000000001;9.734027000000001
0 days 00:01:41.821438280;16.60125;-0.085;-0.2725913403406477;52.649932125;9.752833516666668;-0.0165;-0.060850668515477976;-0.746432;-4.989584;9.490085
0 days 00:01:41.831438280;16.596527777777776;-0.085;-0.2719368418711498;52.64993181666667;9.7528359;-0.0165;-0.060850668515477976;-0.42052200000000006;-4.890503000000001;9.259659000000001
0 days 00:01:41.841438280;16.598333333333333;-0.085;-0.27128234340165197;52.649931441666666;9.752838299999999;-0.016466666666666668;-0.06078187738505026;-0.38542400000000004;-4.913175000000001;9.598758
0 days 00:01:41.851438280;16.59277777777778;-0.085;-0.2695806473809575;52.649931124999995;9.752840691666664;-0.01631666666666667;-0.06073274086331619;-0.8528160000000002;-4.964514;9.539353
0 days 00:01:41.861438280;16.59;-0.08513888888888889;-0.2696242806122573;52.64993082499999;9.752843016666665;-0.016300000000000002;-0.06073274086331619;-0.31174;-4.9625520000000005;9.590038
0 days 00:01:41.871438280;16.58972222222222;-0.08847222222222223;-0.26946429209749123;52.649930525;9.752845399999998;-0.016300000000000002;-0.06073274086331619;-0.4131100000000001;-4.964950000000001;9.670043999999999
0 days 00:01:41.881438280;16.58263888888889;-0.08652777777777777;-0.2686643495236605;52.64993021666667;9.752847791666666;-0.016300000000000002;-0.060663949732888495;-0.7300820000000002;-4.865869000000001;9.4939
0 days 00:01:41.891438280;16.57638888888889;-0.0886111111111111;-0.2680389398750292;52.64992984166667;9.752850116666666;-0.016283333333333334;-0.060614813211154424;-0.37506900000000004;-4.874916000000001;9.624591
0 days 00:01:41.901438280;16.574861111111108;-0.09000000000000001;-0.2671517308385987;52.64992951666667;9.752852500000001;-0.016208333333333335;-0.060614813211154424;-0.39338100000000004;-4.899986000000001;9.618269
0 days 00:01:41.911438280;16.57125;-0.09000000000000001;-0.26626452180216825;52.64992914166666;9.752854891666667;-0.01618333333333333;-0.060614813211154424;-0.587946;-4.8952990000000005;9.491938000000001
0 days 00:01:41.921438280;16.56638888888889;-0.09013888888888888;-0.26638087708563457;52.649928816666666;9.752857216666667;-0.016108333333333332;-0.060614813211154424;-0.49387900000000007;-4.967566000000001;9.524856000000002
0 days 00:01:41.931438280;16.564722222222223;-0.0936111111111111;-0.26617725533956854;52.64992844166667;9.752859591666665;-0.0161;-0.060614813211154424;-0.5893630000000001;-5.006479000000001;9.714843000000002
0 days 00:01:41.941438280;16.557777777777776;-0.09500000000000001;-0.2655373012805039;52.649928116666665;9.752861916666665;-0.0161;-0.06054602208072671;-0.5634210000000001;-4.8655420000000005;9.568674000000001
0 days 00:01:41.951438280;16.554861111111112;-0.09500000000000001;-0.2654936680492041;52.64992773333333;9.752864299999999;-0.0161;-0.060496885558992644;-0.4206310000000001;-4.90936;9.53423
0 days 00:01:41.961438280;16.55125;-0.09500000000000001;-0.264926436042306;52.64992734166666;9.752866691666666;-0.0161;-0.06042809442856495;-0.6262050000000001;-4.939007999999999;9.597123000000002
0 days 00:01:41.971438280;16.54652777777778;-0.09513888888888888;-0.2644173816771409;52.64992701666666;9.752869016666667;-0.016083333333333335;-0.060378957906830864;-0.45878100000000005;-4.878622;9.523875
0 days 00:01:41.981438280;16.548333333333336;-0.09861111111111111;-0.2645628257814738;52.64992663333334;9.752871391666666;-0.016025;-0.060378957906830864;-0.3655860000000001;-4.838946000000001;9.612492
0 days 00:01:41.991438280;16.542777777777776;-0.10000000000000002;-0.26462100342320694;52.64992624166666;9.752873716666665;-0.016091666666666667;-0.06031016677640316;-0.7116610000000001;-4.877968;9.474171000000002
0 days 00:01:42.001438280;16.54;-0.10000000000000002;-0.2644173816771409;52.64992591666667;9.752876091666666;-0.016083333333333335;-0.060261030254669085;-0.38760400000000006;-4.838728;9.446485000000001
0 days 00:01:42.011438280;16.53986111111111;-0.10000000000000002;-0.26419921552064163;52.649925533333324;9.752878416666666;-0.016008333333333333;-0.06019223912424136;-0.28241900000000003;-4.83415;9.763239
0 days 00:01:42.021438280;16.53625;-0.10000000000000002;-0.2638937829015426;52.64992513333333;9.752880791666668;-0.016;-0.0601431026025073;-0.6296930000000001;-4.867613000000001;9.698384
0 days 00:01:42.031438280;16.53125;-0.10013888888888889;-0.26396650495370905;52.649924733333336;9.752883108333332;-0.016;-0.0600743114720796;-0.5800980000000001;-4.851481000000001;9.606170000000002
0 days 00:01:42.041438280;16.52625;-0.10361111111111111;-0.26392287172240925;52.64992433333333;9.752885408333333;-0.016;-0.059956383819917816;-0.536498;-4.885707000000001;9.682797
0 days 00:01:42.051438280;16.52125;-0.105;-0.2632829176633446;52.649923933333326;9.752887716666665;-0.016;-0.05983845616775604;-0.6635920000000001;-4.8612910000000005;9.773485
0 days 00:01:42.061438280;16.516388888888887;-0.105;-0.26332655089464446;52.64992353333333;9.752890091666666;-0.01601666666666667;-0.05978931964602197;-0.542711;-4.793166;9.477659000000001
0 days 00:01:42.071438280;16.514861111111113;-0.105;-0.2640974046476086;52.649923133333324;9.752892416666667;-0.016075;-0.05972052851559427;-0.317626;-4.847557;9.524638000000001
0 days 00:01:42.081438280;16.51138888888889;-0.105;-0.2636028946928769;52.649922733333334;9.752894791666664;-0.016008333333333333;-0.05960260086343247;-0.624679;-4.76112;9.488450000000002
0 days 00:01:42.091438280;16.51;-0.105;-0.26355926146157704;52.649922333333336;9.752897108333332;-0.016;-0.05941588208084299;-0.5334460000000001;-4.679479000000001;9.439400000000001
0 days 00:01:42.101438280;16.50986111111111;-0.10513888888888889;-0.26385014967024273;52.64992193333333;9.752899408333333;-0.016;-0.05924881790694715;-0.344549;-4.816056000000001;9.671570000000001
0 days 00:01:42.111438280;16.506249999999998;-0.10847222222222223;-0.26369016115547667;52.649921524999996;9.752901708333333;-0.01601666666666667;-0.059130890254785365;-0.6339440000000001;-4.8110420000000005;9.514501000000003
0 days 00:01:42.121438280;16.501388888888886;-0.10638888888888888;-0.2638937829015426;52.649921049999996;9.752904016666667;-0.016075;-0.0589441714721959;-0.4108210000000001;-4.633917;9.349802
0 days 00:01:42.131438280;16.499861111111112;-0.105;-0.26367561674504336;52.64992063333333;9.752906391666665;-0.016008333333333333;-0.05877710729830003;-0.357193;-4.613861000000001;9.417709
0 days 00:01:42.141438280;16.49625;-0.105;-0.2630792959172786;52.649920224999995;9.752908708333333;-0.016;-0.05865917964613826;-0.6584690000000002;-4.695938;9.705796000000001
0 days 00:01:42.151438280;16.49138888888889;-0.105;-0.2630356626859787;52.64991975;9.752911008333333;-0.016;-0.058472460863548764;-0.704249;-4.767878000000001;9.636581000000001
0 days 00:01:42.161438280;16.490000000000002;-0.105;-0.26369016115547667;52.64991933333334;9.752913308333333;-0.016;-0.058236605559225205;-0.331905;-4.852026;9.474280000000002
0 days 00:01:42.171438280;16.489861111111114;-0.105;-0.2636028946928769;52.649918925;9.752915608333334;-0.016;-0.05806954138532936;-0.4241190000000001;-4.7013880000000015;9.460982000000001
0 days 00:01:42.181438280;16.48638888888889;-0.105;-0.26268659683557993;52.64991845;9.752917908333332;-0.015983333333333332;-0.05788282260273987;-0.6589050000000001;-4.725586000000001;9.522240000000002
0 days 00:01:42.191438280;16.484861111111112;-0.105;-0.2621193648286817;52.649918025;9.752920208333332;-0.015925;-0.05771575842884402;-0.513499;-4.64667;9.522567
0 days 00:01:42.201438280;16.48125;-0.105;-0.26181393220958277;52.64991755;9.752922508333333;-0.015975;-0.057529039646254526;-0.45878100000000005;-4.6716310000000005;9.710919
0 days 00:01:42.211438280;16.476388888888888;-0.105;-0.2611739781505181;52.649917125;9.752924808333333;-0.015908333333333333;-0.05729318434193097;-0.5584070000000001;-4.675991;9.60181
0 days 00:01:42.221438280;16.474861111111114;-0.105;-0.26113034491921827;52.649916649999994;9.752927108333333;-0.0159;-0.05712612016803513;-0.404826;-4.752182;9.672006000000001
0 days 00:01:42.231438280;16.47125;-0.105;-0.26005405854715513;52.649916225;9.752929408333333;-0.015883333333333336;-0.056939401385445634;-0.725722;-4.683512;9.683560000000002
0 days 00:01:42.241438280;16.466527777777777;-0.105;-0.2590504942272584;52.64991574166667;9.752931708333334;-0.015808333333333334;-0.05677233721154979;-0.5350810000000001;-4.564266;9.440381000000002
0 days 00:01:42.251438280;16.46847222222222;-0.105;-0.2589923165855252;52.64991524999999;9.752934008333334;-0.015783333333333333;-0.056654409559388;-0.11161600000000003;-4.6546270000000005;9.753756000000001
0 days 00:01:42.261438280;16.46625;-0.105;-0.25782876375086233;52.649914824999996;9.752936308333332;-0.015708333333333335;-0.056605273037653926;-0.67253;-4.695611;9.937312
0 days 00:01:42.271438280;16.461388888888887;-0.105;-0.2569851879457317;52.649914341666666;9.752938608333332;-0.015700000000000002;-0.05653648190722623;-0.7739;-4.6886350000000006;9.780897000000001
0 days 00:01:42.281438280;16.459861111111113;-0.10513888888888889;-0.2572324429230976;52.64991384166667;9.752940899999999;-0.015700000000000002;-0.05641855425506445;-0.35555800000000004;-4.673593;9.743292000000002
